what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1443212546960
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1443212546961
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1443212546962
started,bundle,org.eclipse.php.core,2.2.1.v20101001-2300,"org.eclipse.php.core",1443212546962
started,bundle,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui",1443212546962
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1443212546962
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1443212546962
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1443212546962
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1443212546962
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1443212546962
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1443212546962
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1443212546962
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1443212546963
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1443212546963
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1443212546963
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1443212546963
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1443212546965
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1443212546965
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1443212546965
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1443212546965
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1443212546965
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1443212546965
os,sysinfo,,,"win32",1443212546971
arch,sysinfo,,,"x86_64",1443212546971
ws,sysinfo,,,"win32",1443212546971
locale,sysinfo,,,"pt_BR",1443212546971
processors,sysinfo,,,"4",1443212546971
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1443212546971
java.runtime.version,sysinfo,,,"1.8.0_60-b27",1443212546971
java.specification.name,sysinfo,,,"Java Platform API Specification",1443212546971
java.specification.vendor,sysinfo,,,"Oracle Corporation",1443212546971
java.specification.version,sysinfo,,,"1.8",1443212546971
java.vendor,sysinfo,,,"Oracle Corporation",1443212546971
java.version,sysinfo,,,"1.8.0_60",1443212546971
java.vm.info,sysinfo,,,"mixed mode",1443212546971
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1443212546971
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1443212546971
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1443212546971
